climate_model,scenario,doi
BCC-CSM1.1,piControl,https://doi.org/10.1594/WDCC/CMIP5.BCB1pc
BCC-CSM1.1,amip,https://doi.org/10.1594/WDCC/CMIP5.BCB1am
BCC-CSM1.1,amip4K,https://doi.org/10.1594/WDCC/CMIP5.BCB1a4
BCC-CSM1.1,amip4xCO2,https://doi.org/10.1594/WDCC/CMIP5.BCB1a2
BCC-CSM1.1,amipFuture,https://doi.org/10.1594/WDCC/CMIP5.BCB1af
BCC-CSM1.1,historical,https://doi.org/10.1594/WDCC/CMIP5.BCB1hi
BCC-CSM1.1,historicalGHG,https://doi.org/10.1594/WDCC/CMIP5.BCB1hg
BCC-CSM1.1,historicalNat,https://doi.org/10.1594/WDCC/CMIP5.BCB1hn
BCC-CSM1.1,rcp26,https://doi.org/10.1594/WDCC/CMIP5.BCB1r2
BCC-CSM1.1,rcp45,https://doi.org/10.1594/WDCC/CMIP5.BCB1r4
BCC-CSM1.1,rcp60,https://doi.org/10.1594/WDCC/CMIP5.BCB1r6
BCC-CSM1.1,rcp85,https://doi.org/10.1594/WDCC/CMIP5.BCB1r8
BCC-CSM1.1,abrupt4xCO2,https://doi.org/10.1594/WDCC/CMIP5.BCB1c2
BCC-CSM1.1,1pctCO2,https://doi.org/10.1594/WDCC/CMIP5.BCB1c1
BCC-CSM1.1,esmControl,https://doi.org/10.1594/WDCC/CMIP5.BCB1ec
BCC-CSM1.1,esmFdbk1,https://doi.org/10.1594/WDCC/CMIP5.BCB1e1
BCC-CSM1.1,esmFdbk2,https://doi.org/10.1594/WDCC/CMIP5.BCB1e2
BCC-CSM1.1,esmFixClim1,https://doi.org/10.1594/WDCC/CMIP5.BCB1x1
BCC-CSM1.1,esmFixClim2,https://doi.org/10.1594/WDCC/CMIP5.BCB1x2
BCC-CSM1.1,esmHistorical,https://doi.org/10.1594/WDCC/CMIP5.BCB1eh
BCC-CSM1.1,esmrcp85,https://doi.org/10.1594/WDCC/CMIP5.BCB1e8
BCC-CSM1.1,sstClim,https://doi.org/10.1594/WDCC/CMIP5.BCB1sc
BCC-CSM1.1,sstClim4xCO2,https://doi.org/10.1594/WDCC/CMIP5.BCB1s2
BCC-CSM1.1,sstClimAersosol,https://doi.org/10.1594/WDCC/CMIP5.BCB1sa
BCC-CSM1.1,sstClimSulfate,https://doi.org/10.1594/WDCC/CMIP5.BCB1ss
BCC-CSM1.1,midHolocene,https://doi.org/10.1594/WDCC/CMIP5.BCB1mh
BCC-CSM1.1,past1000,https://doi.org/10.1594/WDCC/CMIP5.BCB1pk
BCC-CSM1.1(m),historical,https://doi.org/10.1594/WDCC/CMIP5.BCBMhi
BCC-CSM1.1(m),rcp26,https://doi.org/10.1594/WDCC/CMIP5.BCBMr2
BCC-CSM1.1(m),rcp45,https://doi.org/10.1594/WDCC/CMIP5.BCBMr4
BCC-CSM1.1(m),rcp60,https://doi.org/10.1594/WDCC/CMIP5.BCBMr6
BCC-CSM1.1(m),rcp85,https://doi.org/10.1594/WDCC/CMIP5.BCBMr8
BCC-CSM1.1(m),abrupt4xCO2,https://doi.org/10.1594/WDCC/CMIP5.BCBMc2
BCC-CSM1.1(m),1pctCO2,https://doi.org/10.1594/WDCC/CMIP5.BCBMc1
BCC-CSM1.1(m),esmControl,https://doi.org/10.1594/WDCC/CMIP5.BCBMec
BCC-CSM1.1(m),esmHistorical,https://doi.org/10.1594/WDCC/CMIP5.BCBMeh
BCC-CSM1.1(m),esmrcp85,https://doi.org/10.1594/WDCC/CMIP5.BCBMe8
BNU-ESM,piControl,https://doi.org/10.1594/WDCC/CMIP5.BUBUpc
BNU-ESM,amip,https://doi.org/10.1594/WDCC/CMIP5.BUBUam
BNU-ESM,historical,https://doi.org/10.1594/WDCC/CMIP5.BUBUhi
BNU-ESM,historicalGHG,https://doi.org/10.1594/WDCC/CMIP5.BUBUhg
BNU-ESM,historicalMisc,https://doi.org/10.1594/WDCC/CMIP5.BUBUhm
BNU-ESM,historicalNat,https://doi.org/10.1594/WDCC/CMIP5.BUBUhn
